id,parent_id,type,code,content,answer_order_random,duration,item_count,order,created_at,updated_at
395af86b-6f7d-4adc-ae37-dd9f85cf6de4,,multi_choice_single,LISTENING-P-A-R-T-A-24,<p></p>,true,12,1,24,2020-07-16 10:57:37,2020-07-16 10:57:37
e8f8ce64-ba96-41a7-a14c-960523801cea,,multi_choice_single,LISTENING-P-A-R-T-A-21,<p></p>,true,12,1,21,2020-07-16 10:57:37,2020-07-16 10:57:37
fb58dd0f-ba02-45ea-95e3-14790c9a45d5,,multi_choice_single,LISTENING-P-A-R-T-A-4,<p></p>,true,12,1,4,2020-07-16 10:57:34,2020-07-16 10:57:34
89e26054-7591-4d31-9023-9be9ed41c5a5,,multi_choice_single,LISTENING-P-A-R-T-A-9,<p></p>,true,12,1,9,2020-07-16 10:57:35,2020-07-16 10:57:35
c36ab4d3-fbd7-4eb1-82ed-9da08c13b6ff,,multi_choice_single,LISTENING-P-A-R-T-A-27,<p></p>,true,12,1,27,2020-07-16 10:57:38,2020-07-16 10:57:38
19d2c09b-7674-4559-ae52-2670c5c92a5a,,multi_choice_single,LISTENING-P-A-R-T-A-14,<p></p>,true,12,1,14,2020-07-16 10:57:36,2020-07-16 10:57:36
3007ed6c-aa34-4ce0-a45b-cbae038322d5,,multi_choice_single,LISTENING-P-A-R-T-A-5,<p></p>,true,12,1,5,2020-07-16 10:57:34,2020-07-16 10:57:34
34167b0d-7e4d-4e99-a8c1-5f495914a5b6,,multi_choice_single,LISTENING-P-A-R-T-A-0,<p></p>,true,12,1,0,2020-07-16 10:57:33,2020-07-16 10:57:33
af0f212b-ce02-44f8-aef8-56d9c27eba84,,multi_choice_single,LISTENING-P-A-R-T-A-18,<p></p>,true,12,1,18,2020-07-16 10:57:36,2020-07-16 10:57:36
d7684622-1bd3-4d57-aaf2-51ed631dc5dc,,multi_choice_single,LISTENING-P-A-R-T-A-10,<p></p>,true,12,1,10,2020-07-16 10:57:35,2020-07-16 10:57:35
2d0b7c7b-916f-45d1-a182-e18cd927ddb2,368e2f04-074a-4e23-8cfb-ff510b9e5ccb,multi_choice_single,LISTENING-P-A-R-T-B-0-2,Voluptas voluptatem cum repellendus accusamus reiciendis alias. Praesentium unde commodi id molestiae labore. Nisi error aperiam asperiores veritatis non iusto non.,true,12,1,2,2020-07-16 10:57:39,2020-07-16 10:57:39
06416a45-c2f0-4cf2-8ba9-04ca8f9d61c4,,multi_choice_single,LISTENING-P-A-R-T-A-6,<p></p>,true,12,1,6,2020-07-16 10:57:34,2020-07-16 10:57:34
b9c66f69-31a5-4342-b7d0-c37ac5bd5a7c,,multi_choice_single,LISTENING-P-A-R-T-A-1,<p></p>,true,12,1,1,2020-07-16 10:57:33,2020-07-16 10:57:34
fd09a166-4d36-47d3-a470-87901592feb2,,bundle,LISTENING-P-A-R-T-B-1,<p></p>,true,12,4,1,2020-07-16 10:57:39,2020-07-16 10:57:39
c33f5585-bc6a-4856-9e23-b210f66346d2,,multi_choice_single,LISTENING-P-A-R-T-A-22,<p></p>,true,12,1,22,2020-07-16 10:57:37,2020-07-16 10:57:37
ccfe894e-04fe-4869-b370-8d668fbf5532,,multi_choice_single,LISTENING-P-A-R-T-A-15,<p></p>,true,12,1,15,2020-07-16 10:57:36,2020-07-16 10:57:36
e311c609-2d40-4022-a7f3-39eb3ba6b910,,multi_choice_single,LISTENING-P-A-R-T-A-11,<p></p>,true,12,1,11,2020-07-16 10:57:35,2020-07-16 10:57:35
68460af7-ecc4-4248-8222-1c5de000ebc3,,multi_choice_single,LISTENING-P-A-R-T-A-2,<p></p>,true,12,1,2,2020-07-16 10:57:34,2020-07-16 10:57:34
1e6fb2b3-89e6-4e4b-b031-03b84f8f2912,,multi_choice_single,LISTENING-P-A-R-T-A-25,<p></p>,true,12,1,25,2020-07-16 10:57:37,2020-07-16 10:57:37
5df3e4d2-579f-4587-a850-3995c6e226ef,,multi_choice_single,LISTENING-P-A-R-T-A-7,<p></p>,true,12,1,7,2020-07-16 10:57:34,2020-07-16 10:57:35
ac44dcf8-675a-4127-8694-379e3bfc9f06,,multi_choice_single,LISTENING-P-A-R-T-A-19,<p></p>,true,12,1,19,2020-07-16 10:57:36,2020-07-16 10:57:37
0d54ddaa-ad1e-47ae-8724-9f134ec7c90b,368e2f04-074a-4e23-8cfb-ff510b9e5ccb,multi_choice_single,LISTENING-P-A-R-T-B-0-1,Velit adipisci tempore et vitae fugiat. Omnis atque natus aut magni veniam eos. Sint modi blanditiis sit laboriosam eos.,true,12,1,1,2020-07-16 10:57:39,2020-07-16 10:57:39
02325396-11b4-4a54-a33d-926b7fa944a7,,multi_choice_single,LISTENING-P-A-R-T-A-3,<p></p>,true,12,1,3,2020-07-16 10:57:34,2020-07-16 10:57:34
69c3fa0a-b56c-4f8c-a0b8-8bd8e6af81d4,,multi_choice_single,LISTENING-P-A-R-T-A-12,<p></p>,true,12,1,12,2020-07-16 10:57:35,2020-07-16 10:57:35
4f0e729f-57a0-441b-8c70-f1f454d37026,,multi_choice_single,LISTENING-P-A-R-T-A-8,<p></p>,true,12,1,8,2020-07-16 10:57:35,2020-07-16 10:57:35
e5d331c4-cb78-4ed2-ace5-e86485718c6a,,multi_choice_single,LISTENING-P-A-R-T-A-28,<p></p>,true,12,1,28,2020-07-16 10:57:38,2020-07-16 10:57:38
